sku,name,slug,description,short_description,regular_price,sale_price,stock_quantity,categories,tags,images,status,attributes
ANMI-HSKFMBFACE-022,HSK-FMB Face Milling Arbor,hsk-fmb-face-milling-arbor,HSK-FMB Face Milling Arbor - Giải pháp trục gá dao phay mặt HSK chính xác cao cho CNC. Chất lượng Nhật Bản.,HSK-FMB Face Milling Arbor - Giải pháp trục gá dao phay mặt HSK chính xác cao cho CNC. Chất lượng Nhật Bản.,2500000,2250000,100,HSK,"HSK-FMB, face milling arbor, tool holder, CNC","https://anmitools.com/wp-content/uploads/products/hsk-fmb-face-milling-arbor-01.jpg, https://anmitools.com/wp-content/uploads/products/hsk-fmb-face-milling-arbor-02.jpg",publish,"Type:HSK-A63,HSK-A100,HSK-E63|Material:Steel,Alloy Steel"
ANMI-HSKSLAWELD-023,HSK-SLA Weldon Tool Holder,hsk-sla-weldon-tool-holder,HSK-SLA Weldon Tool Holder - Giải pháp cán dao Weldon HSK chính xác cao cho CNC. Chất lượng Nhật Bản.,HSK-SLA Weldon Tool Holder - Giải pháp cán dao Weldon HSK chính xác cao cho CNC. Chất lượng Nhật Bản.,2500000,2250000,60,HSK,"HSK-SLA, weldon holder, tool holder, CNC","https://anmitools.com/wp-content/uploads/products/hsk-sla-weldon-tool-holder-01.jpg, https://anmitools.com/wp-content/uploads/products/hsk-sla-weldon-tool-holder-02.jpg",publish,"Type:HSK-A63,HSK-A100,HSK-E63|Material:Steel,Alloy Steel"
ANMI-HSKAPUDRIL-024,HSK-APU Drill Chuck Holder,hsk-apu-drill-chuck-holder,HSK-APU Drill Chuck Holder - Giải pháp chuck khoan HSK chính xác cao cho CNC. Chất lượng Nhật Bản.,HSK-APU Drill Chuck Holder - Giải pháp chuck khoan HSK chính xác cao cho CNC. Chất lượng Nhật Bản.,2500000,2250000,80,HSK,"HSK-APU, drill chuck, tool holder, CNC","https://anmitools.com/wp-content/uploads/products/hsk-apu-drill-chuck-holder-01.jpg, https://anmitools.com/wp-content/uploads/products/hsk-apu-drill-chuck-holder-02.jpg",publish,"Type:HSK-A63,HSK-A100,HSK-E63|Material:Steel,Alloy Steel"
ANMI-HSKCPOWERC-025,HSK-C Power Chuck,hsk-c-power-chuck,HSK-C Power Chuck - Giải pháp chuck động lực HSK chính xác cao cho CNC. Chất lượng Nhật Bản.,HSK-C Power Chuck - Giải pháp chuck động lực HSK chính xác cao cho CNC. Chất lượng Nhật Bản.,2500000,2250000,150,HSK,"HSK-C, power chuck, tool holder, CNC","https://anmitools.com/wp-content/uploads/products/hsk-c-power-chuck-01.jpg, https://anmitools.com/wp-content/uploads/products/hsk-c-power-chuck-02.jpg",publish,"Type:HSK-A63,HSK-A100,HSK-E63|Material:Steel,Alloy Steel"
ANMI-BTTENSIONC-026,BT Tension-Compression Tapping Holder,bt-tension-compression-tapping-holder,BT Tension-Compression Tapping Holder - Giải pháp cán dao tarô nén/kéo cho CNC. Chất lượng Nhật Bản.,BT Tension-Compression Tapping Holder - Giải pháp cán dao tarô nén/kéo cho CNC. Chất lượng Nhật Bản.,1800000,1620000,100,BT SIDE LOCK,"BT, tension compression, tapping holder, CNC","https://anmitools.com/wp-content/uploads/products/bt-tension-compression-tapping-holder-01.jpg, https://anmitools.com/wp-content/uploads/products/bt-tension-compression-tapping-holder-02.jpg",publish,"Size:BT30,BT40,BT50|Material:Steel,Alloy Steel"
ANMI-BTRIGIDTAP-027,BT Rigid Tapping Tool Holder,bt-rigid-tapping-tool-holder,BT Rigid Tapping Tool Holder - Giải pháp cán dao tarô cứng chính xác cao cho CNC. Chất lượng Nhật Bản.,BT Rigid Tapping Tool Holder - Giải pháp cán dao tarô cứng chính xác cao cho CNC. Chất lượng Nhật Bản.,1800000,1620000,80,BT SIDE LOCK,"BT, rigid tapping, tool holder, CNC","https://anmitools.com/wp-content/uploads/products/bt-rigid-tapping-tool-holder-01.jpg, https://anmitools.com/wp-content/uploads/products/bt-rigid-tapping-tool-holder-02.jpg",publish,"Size:BT30,BT40,BT50|Material:Steel,Alloy Steel"
ANMI-NBH2084MIC-028,NBH2084 Micro Boring System,nbh2084-micro-boring-system,NBH2084 Micro Boring System - Giải pháp doa vi mô chính xác cao cho CNC. Chất lượng Nhật Bản.,NBH2084 Micro Boring System - Giải pháp doa vi mô chính xác cao cho CNC. Chất lượng Nhật Bản.,2800000,2520000,100,"Hệ thống gá kẹp, cán dao","NBH2084, micro boring, boring system, CNC","https://anmitools.com/wp-content/uploads/products/nbh2084-micro-boring-system-01.jpg, https://anmitools.com/wp-content/uploads/products/nbh2084-micro-boring-system-02.jpg",publish,"Material:Steel,Alloy Steel"
ANMI-NBJ16MICRO-029,NBJ16 Micro Boring System,nbj16-micro-boring-system,NBJ16 Micro Boring System - Giải pháp doa vi mô chính xác cao cho CNC. Chất lượng Nhật Bản.,NBJ16 Micro Boring System - Giải pháp doa vi mô chính xác cao cho CNC. Chất lượng Nhật Bản.,2800000,2520000,60,"Hệ thống gá kẹp, cán dao","NBJ16, micro boring, boring system, CNC","https://anmitools.com/wp-content/uploads/products/nbj16-micro-boring-system-01.jpg, https://anmitools.com/wp-content/uploads/products/nbj16-micro-boring-system-02.jpg",publish,"Material:Steel,Alloy Steel"
ANMI-EWNMICROBO-030,EWN Micro Boring Head,ewn-micro-boring-head,EWN Micro Boring Head - Giải pháp đầu doa vi mô chính xác cao cho CNC. Chất lượng Nhật Bản.,EWN Micro Boring Head - Giải pháp đầu doa vi mô chính xác cao cho CNC. Chất lượng Nhật Bản.,2800000,2520000,150,"Hệ thống gá kẹp, cán dao","EWN, micro boring head, boring tool, CNC","https://anmitools.com/wp-content/uploads/products/ewn-micro-boring-head-01.jpg, https://anmitools.com/wp-content/uploads/products/ewn-micro-boring-head-02.jpg",publish,"Material:Steel,Alloy Steel"
ANMI-RBHADJUSTA-031,RBH Adjustable Rough Boring Head,rbh-adjustable-rough-boring-head,RBH Adjustable Rough Boring Head - Giải pháp đầu doa thô điều chỉnh cho CNC. Chất lượng Nhật Bản.,RBH Adjustable Rough Boring Head - Giải pháp đầu doa thô điều chỉnh cho CNC. Chất lượng Nhật Bản.,2800000,2520000,60,"Hệ thống gá kẹp, cán dao","RBH, rough boring head, boring tool, CNC","https://anmitools.com/wp-content/uploads/products/rbh-adjustable-rough-boring-head-01.jpg, https://anmitools.com/wp-content/uploads/products/rbh-adjustable-rough-boring-head-02.jpg",publish,"Material:Steel,Alloy Steel"
ANMI-CBHLARGEDI-032,CBH Large-Diameter Fine Boring Head,cbh-large-diameter-fine-boring-head,CBH Large-Diameter Fine Boring Head - Giải pháp đầu doa tinh đường kính lớn cho CNC. Chất lượng Nhật Bản.,CBH Large-Diameter Fine Boring Head - Giải pháp đầu doa tinh đường kính lớn cho CNC. Chất lượng Nhật Bản.,2800000,2520000,100,"Hệ thống gá kẹp, cán dao","CBH, fine boring head, large diameter, CNC","https://anmitools.com/wp-content/uploads/products/cbh-large-diameter-fine-boring-head-01.jpg, https://anmitools.com/wp-content/uploads/products/cbh-large-diameter-fine-boring-head-02.jpg",publish,"Material:Steel,Alloy Steel"
ANMI-BSTTWINBLA-033,BST Twin-Blade Boring Tool,bst-twin-blade-boring-tool,BST Twin-Blade Boring Tool - Giải pháp dao doa lưỡi kép chính xác cao cho CNC. Chất lượng Nhật Bản.,BST Twin-Blade Boring Tool - Giải pháp dao doa lưỡi kép chính xác cao cho CNC. Chất lượng Nhật Bản.,2800000,2520000,80,"Hệ thống gá kẹp, cán dao","BST, twin blade, boring tool, CNC","https://anmitools.com/wp-content/uploads/products/bst-twin-blade-boring-tool-01.jpg, https://anmitools.com/wp-content/uploads/products/bst-twin-blade-boring-tool-02.jpg",publish,"Material:Steel,Alloy Steel"
ANMI-CKLBKBORIN-034,CK/LBK Boring Bar System,ck-lbk-boring-bar-system,CK/LBK Boring Bar System - Giải pháp hệ thống thanh doa chính xác cao cho CNC. Chất lượng Nhật Bản.,CK/LBK Boring Bar System - Giải pháp hệ thống thanh doa chính xác cao cho CNC. Chất lượng Nhật Bản.,2800000,2520000,100,"Hệ thống gá kẹp, cán dao","CK, LBK, boring bar, system, CNC","https://anmitools.com/wp-content/uploads/products/ck-lbk-boring-bar-system-01.jpg, https://anmitools.com/wp-content/uploads/products/ck-lbk-boring-bar-system-02.jpg",publish,"Material:Steel,Alloy Steel"
ANMI-CBS4590BOR-035,CBS 45° / 90° Boring Tool,cbs-45-90-boring-tool,CBS 45° / 90° Boring Tool - Giải pháp dao doa góc 45°/90° chính xác cao cho CNC. Chất lượng Nhật Bản.,CBS 45° / 90° Boring Tool - Giải pháp dao doa góc 45°/90° chính xác cao cho CNC. Chất lượng Nhật Bản.,2800000,2520000,150,"Hệ thống gá kẹp, cán dao","CBS, 45 degree, 90 degree, boring tool, CNC","https://anmitools.com/wp-content/uploads/products/cbs-45-90-boring-tool-01.jpg, https://anmitools.com/wp-content/uploads/products/cbs-45-90-boring-tool-02.jpg",publish,"Material:Steel,Alloy Steel"
ANMI-SBFIXEDDIA-036,SB Fixed Diameter Boring Cutter,sb-fixed-diameter-boring-cutter,SB Fixed Diameter Boring Cutter - Giải pháp dao doa đường kính cố định cho CNC. Chất lượng Nhật Bản.,SB Fixed Diameter Boring Cutter - Giải pháp dao doa đường kính cố định cho CNC. Chất lượng Nhật Bản.,2800000,2520000,80,"Hệ thống gá kẹp, cán dao","SB, fixed diameter, boring cutter, CNC","https://anmitools.com/wp-content/uploads/products/sb-fixed-diameter-boring-cutter-01.jpg, https://anmitools.com/wp-content/uploads/products/sb-fixed-diameter-boring-cutter-02.jpg",publish,"Material:Steel,Alloy Steel"
ANMI-GCFIXEDDIA-037,GC Fixed Diameter Boring Cutter,gc-fixed-diameter-boring-cutter,GC Fixed Diameter Boring Cutter - Giải pháp dao doa đường kính cố định cho CNC. Chất lượng Nhật Bản.,GC Fixed Diameter Boring Cutter - Giải pháp dao doa đường kính cố định cho CNC. Chất lượng Nhật Bản.,2800000,2520000,60,"Hệ thống gá kẹp, cán dao","GC, fixed diameter, boring cutter, CNC","https://anmitools.com/wp-content/uploads/products/gc-fixed-diameter-boring-cutter-01.jpg, https://anmitools.com/wp-content/uploads/products/gc-fixed-diameter-boring-cutter-02.jpg",publish,"Material:Steel,Alloy Steel"
ANMI-ERHIGHPREC-038,ER High Precision Collet,er-high-precision-collet,ER High Precision Collet - Giải pháp collet ER độ chính xác cao cho gia công CNC. Chất lượng Nhật Bản.,ER High Precision Collet - Giải pháp collet ER độ chính xác cao cho gia công CNC. Chất lượng Nhật Bản.,1200000,1080000,100,COLLET,"ER, collet, high precision, CNC machining","https://anmitools.com/wp-content/uploads/products/er-high-precision-collet-01.jpg, https://anmitools.com/wp-content/uploads/products/er-high-precision-collet-02.jpg",publish,"Collet Size:ER8,ER11,ER16,ER20,ER25,ER32,ER40|Material:Steel,Alloy Steel|Precision:±0.003mm,±0.005mm"
ANMI-SKHIGHPREC-039,SK High Precision Collet,sk-high-precision-collet,SK High Precision Collet - Giải pháp collet SK độ chính xác cao cho gia công CNC. Chất lượng Nhật Bản.,SK High Precision Collet - Giải pháp collet SK độ chính xác cao cho gia công CNC. Chất lượng Nhật Bản.,800000,720000,80,COLLET,"SK, collet, high precision, CNC machining","https://anmitools.com/wp-content/uploads/products/sk-high-precision-collet-01.jpg, https://anmitools.com/wp-content/uploads/products/sk-high-precision-collet-02.jpg",publish,"Collet Size:SK6,SK10,SK16,SK20|Material:Steel,Alloy Steel|Precision:±0.003mm,±0.005mm"
ANMI-NTTOOLHOLD-040,NT Tool Holder System,nt-tool-holder-system,NT Tool Holder System - Giải pháp hệ thống cán dao NT chính xác cao cho CNC. Chất lượng Nhật Bản.,NT Tool Holder System - Giải pháp hệ thống cán dao NT chính xác cao cho CNC. Chất lượng Nhật Bản.,1200000,1080000,150,NT,"NT, tool holder system, CNC machining","https://anmitools.com/wp-content/uploads/products/nt-tool-holder-system-01.jpg, https://anmitools.com/wp-content/uploads/products/nt-tool-holder-system-02.jpg",publish,"Material:Steel,Alloy Steel"
